case_id,program,department,semester,marks,attendance_percentage,cgpa,grievance_submission_date,policy_deadline_date,days_since_event,grievance_type,grievance_claim,medical_proof_present,supporting_documents_count,category_certificate_present,income_certificate_present,human_decision,decision_reason_summary,authority_applied,rule_reference_id,conflict_detected,hierarchy_level_applied,salience_score
GRV2024001,BTech,Computer Science,6,72,68.5,7.2,2024-01-15,2024-01-30,5,ATTENDANCE_SHORTAGE,Student claims 68.5% attendance with medical certificate for 15 days hospitalization due to dengue fever,yes,3,no,no,REJECT,Attendance below UGC-mandated 75% minimum. Medical certificate covers only 15 days but attendance is 6.5% below threshold requiring 20+ days coverage,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024002,BTech,Electrical Engineering,4,45,70.0,6.8,2024-01-18,2024-02-02,8,EXAMINATION_REEVAL,Request revaluation of Power Systems exam. Scored 45/100 which is 5 marks below passing. Result declared 8 days ago,no,1,no,no,ACCEPT,Within 15-day revaluation deadline as per UGC regulations. Fee payment required,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024003,MTech,Mechanical Engineering,2,NA,75.0,8.1,2024-01-20,2024-02-05,3,ATTENDANCE_SHORTAGE,Exactly 75% attendance. Requesting confirmation of eligibility for semester exam,no,0,no,no,ACCEPT,Meets UGC minimum 75% attendance requirement exactly. Eligible for semester examination,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024004,BSc,Physics,5,NA,74.9,7.5,2024-01-22,2024-02-07,2,ATTENDANCE_SHORTAGE,74.9% attendance due to family emergency (father hospitalization). No medical certificate for student,no,2,no,no,REJECT,Attendance 0.1% below UGC 75% threshold. Family emergency documentation does not constitute valid medical excuse for student,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024005,BBA,Business Administration,3,NA,72.0,6.9,2024-01-25,2024-02-10,12,FEE_WAIVER,SC category student with family income Rs 145000 per year. Requesting full fee waiver,yes,4,yes,yes,ACCEPT,Meets RTE Act 2009 criteria for SC category with income below Rs 200000. Full fee waiver approved,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024006,BTech,Civil Engineering,7,38,82.0,7.8,2024-01-28,2024-02-12,6,EXAMINATION_REEVAL,Revaluation request for Structural Analysis. Scored 38/100. Result declared 6 days ago,no,1,no,no,ACCEPT,Within 15-day deadline. Revaluation fee Rs 500 required as per university policy,L3_University,University_Exam_Policy_Reeval_Fee,no,L3_University,800
GRV2024007,MCA,Computer Applications,1,NA,66.0,7.1,2024-02-01,2024-02-16,18,ATTENDANCE_SHORTAGE,66% attendance with valid medical certificate for COVID-19 infection (14 days). District hospital certificate,yes,2,no,no,ACCEPT,Attendance 66% meets UGC medical exception threshold (65%+). Valid medical certificate from recognized authority,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024008,BTech,Information Technology,5,NA,73.0,7.4,2024-02-03,2024-02-18,4,ATTENDANCE_SHORTAGE,73% attendance. University policy allows 70% minimum but UGC requires 75%. Requesting clarification,no,1,no,no,REJECT,UGC national regulation (75%) supersedes university policy (70%). L1 authority takes precedence over L3,L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024009,BSc,Chemistry,6,67,76.0,8.2,2024-02-05,2024-02-20,3,GRADE_APPEAL,Scored 67 marks in Organic Chemistry. A grade boundary is 70 marks. Within 5% margin. Requesting grade review,no,2,no,no,ACCEPT,Within 5% of next grade boundary. University grade appeal policy allows review,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024010,MBA,Management,3,NA,71.0,7.9,2024-02-08,2024-02-23,7,FEE_INSTALLMENT,Family income Rs 380000. Requesting fee payment in 3 installments. Total fee Rs 95000,no,3,no,yes,ACCEPT,Income below Rs 500000 threshold. No previous installment default. Approved for 3 installments,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024011,BTech,Electronics,4,42,79.0,7.6,2024-02-10,2024-02-25,16,EXAMINATION_REEVAL,Revaluation for Digital Electronics. Result declared 16 days ago. Scored 42/100,no,1,no,no,REJECT,Beyond 15-day revaluation deadline as per UGC regulations. Request submitted on day 16,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024012,BTech,Computer Science,8,NA,85.0,8.5,2024-02-12,2024-02-27,45,TRANSCRIPT_DELAY,Transcript requested 45 days ago. Not yet received. Needed for job application,no,1,no,no,ACCEPT,Delay exceeds 30-day standard timeline. Transcript will be issued within 5 business days,L3_University,University_Transcript_Delay_Compensation,no,L3_University,1000
GRV2024013,MSc,Mathematics,2,NA,68.5,8.0,2024-02-15,2024-03-02,10,ATTENDANCE_SHORTAGE,68.5% attendance with medical certificate for appendicitis surgery (20 days). Government hospital certificate,yes,4,no,no,ACCEPT,Attendance 68.5% with valid 20-day medical certificate meets exception criteria (65%+),L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024014,BCA,Computer Applications,5,NA,74.0,7.3,2024-02-18,2024-03-05,8,ATTENDANCE_SHORTAGE,74% attendance. Participated in 35-day industry internship with completion certificate. Requesting attendance relaxation,yes,3,no,no,ACCEPT,NBA allows attendance relaxation to 65% for industry internship 30+ days with certificate,L2_Accreditation,NBA_Industry_Internship_Attendance_Exemption,no,L2_Accreditation,1300
GRV2024015,BTech,Mechanical Engineering,6,NA,62.0,6.5,2024-02-20,2024-03-07,15,ATTENDANCE_SHORTAGE,62% attendance due to prolonged illness (30 days). Multiple medical certificates from different hospitals,yes,6,no,no,REJECT,Attendance 62% below even medical exception threshold of 65%. Prolonged absence requires academic committee review,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024016,BTech,Civil Engineering,3,NA,76.5,7.7,2024-02-22,2024-03-09,2,ATTENDANCE_SHORTAGE,76.5% attendance. Lab attendance is 82%. Requesting confirmation of eligibility,no,0,no,no,ACCEPT,Overall attendance 76.5% exceeds UGC 75% minimum. Lab attendance separately meets NBA 80% requirement,L2_Accreditation,NBA_Technical_Education_Lab_Attendance,no,L2_Accreditation,1250
GRV2024017,MA,English,4,NA,220000,NA,2024-02-25,2024-03-12,5,FEE_WAIVER,OBC category with family income Rs 220000. Requesting fee waiver,yes,3,yes,yes,REJECT,Income Rs 220000 exceeds Rs 200000 threshold for fee waiver under RTE Act,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024018,BTech,Information Technology,7,48,77.0,7.9,2024-02-28,2024-03-15,14,EXAMINATION_REEVAL,Revaluation for Database Systems. Scored 48/100. Result declared 14 days ago,no,1,no,no,ACCEPT,Within 15-day deadline (day 14). Revaluation fee required,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024019,BSc,Biotechnology,5,NA,71.5,7.2,2024-03-02,2024-03-17,35,ATTENDANCE_SHORTAGE,71.5% attendance. Grievance pending for 35 days without resolution. Requesting escalation,no,1,no,no,ACCEPT,Grievance pending beyond 30-day NAAC timeline. Escalation to academic committee warranted,L2_Accreditation,NAAC_Student_Grievance_Redressal_Timeline,no,L2_Accreditation,1100
GRV2024020,MTech,Computer Science,3,NA,73.5,8.3,2024-03-05,2024-03-20,8,ATTENDANCE_SHORTAGE,73.5% attendance. Published research paper in Scopus-indexed journal. Requesting academic flexibility,yes,2,no,no,ACCEPT,NAAC allows academic flexibility for indexed research publication with faculty approval,L2_Accreditation,NAAC_Research_Publication_Academic_Flexibility,no,L2_Accreditation,1150
GRV2024021,BBA,Marketing,2,NA,150000,NA,2024-03-08,2024-03-23,6,FEE_WAIVER,ST category with family income Rs 150000. Requesting full fee waiver,yes,4,yes,yes,ACCEPT,Meets RTE Act criteria for ST category with income below Rs 200000,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024022,BTech,Electronics,8,35,80.0,7.5,2024-03-10,2024-03-25,15,EXAMINATION_REEVAL,Revaluation for Communication Systems. Scored 35/100. Submitted on day 15 (deadline day),no,1,no,no,ACCEPT,Submitted exactly on 15-day deadline. Within permissible timeline,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024023,MCA,Computer Applications,2,NA,72.5,7.8,2024-03-12,2024-03-27,12,ATTENDANCE_SHORTAGE,72.5% attendance. University allows 70% but UGC requires 75%. Student cites university statute,no,1,no,no,REJECT,L1 National regulation (UGC 75%) supersedes L3 University policy (70%). Authority conflict resolved via hierarchy,L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024024,BSc,Physics,3,69,75.5,8.1,2024-03-15,2024-03-30,4,GRADE_APPEAL,Scored 69 marks in Quantum Mechanics. A grade starts at 70. Requesting grade review,no,2,no,no,ACCEPT,Within 5% margin of next grade. University policy allows appeal,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024025,BTech,Mechanical Engineering,5,NA,70.2,7.4,2024-03-18,2024-04-02,22,ATTENDANCE_SHORTAGE,70.2% attendance with NAAC quality monitoring record and parental notification. Requesting academic committee review,yes,3,no,no,PENDING,NAAC allows 70-75% with monitoring. Requires academic committee decision,L2_Accreditation,NAAC_Quality_Assurance_Attendance_Monitoring,no,L2_Accreditation,1200
GRV2024026,MBA,Finance,4,NA,380000,NA,2024-03-20,2024-04-05,3,FEE_INSTALLMENT,Family income Rs 380000. Requesting 4 installments for Rs 120000 fee,no,2,no,yes,ACCEPT,Income below Rs 500000. No default history. 4 installments approved,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024027,BTech,Civil Engineering,6,NA,64.8,7.0,2024-03-22,2024-04-07,9,ATTENDANCE_SHORTAGE,64.8% attendance with medical certificate for fracture (18 days). Orthopedic surgeon certificate,yes,3,no,no,REJECT,Attendance 64.8% below 65% medical exception threshold. Medical certificate days insufficient,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024028,BSc,Chemistry,4,NA,78.0,8.0,2024-03-25,2024-04-10,2,ATTENDANCE_SHORTAGE,78% attendance. Lab attendance 85%. Confirming eligibility for exams,no,0,no,no,ACCEPT,Overall and lab attendance both exceed minimum requirements,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024029,BTech,Computer Science,7,41,81.0,8.2,2024-03-28,2024-04-12,10,EXAMINATION_REEVAL,Revaluation for Machine Learning. Scored 41/100. Result declared 10 days ago,no,1,no,no,ACCEPT,Within 15-day deadline. Revaluation fee Rs 500 required,L3_University,University_Exam_Policy_Reeval_Fee,no,L3_University,800
GRV2024030,MSc,Mathematics,3,NA,67.0,7.9,2024-03-30,2024-04-15,14,ATTENDANCE_SHORTAGE,67% attendance with valid COVID-19 medical certificate (12 days). Government hospital,yes,2,no,no,ACCEPT,Attendance 67% with valid medical certificate meets 65%+ exception criteria,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024031,BCA,Computer Applications,6,NA,73.8,7.6,2024-04-02,2024-04-17,5,ATTENDANCE_SHORTAGE,73.8% attendance. Participated in state-level sports championship (10 days). Sports certificate,yes,2,no,no,REJECT,Sports participation not covered under UGC medical exception. Attendance below 75%,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024032,BTech,Electrical Engineering,5,NA,145000,NA,2024-04-05,2024-04-20,7,FEE_WAIVER,SC category with Rs 145000 family income. Full fee waiver request,yes,4,yes,yes,ACCEPT,Meets RTE Act SC category criteria with income below Rs 200000,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024033,MA,History,2,68,76.0,8.3,2024-04-08,2024-04-23,6,GRADE_APPEAL,Scored 68 in Medieval History. A grade boundary 70. Requesting review,no,2,no,no,ACCEPT,Within 5% margin. Grade appeal policy allows review,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024034,BTech,Information Technology,8,NA,82.0,8.4,2024-04-10,2024-04-25,50,TRANSCRIPT_DELAY,Transcript requested 50 days ago. Required for MS admission abroad,no,1,no,no,ACCEPT,Delay exceeds 30-day limit. Expedited processing within 3 days,L3_University,University_Transcript_Delay_Compensation,no,L3_University,1000
GRV2024035,BSc,Biotechnology,3,NA,71.0,7.3,2024-04-12,2024-04-27,18,ATTENDANCE_SHORTAGE,71% attendance. Citing 2019 university policy (no minimum). Current policy requires 75%,no,1,no,no,REJECT,2023 university policy (75%) supersedes 2019 policy (no minimum). Temporal precedence,L3_University,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024036,MTech,Mechanical Engineering,4,NA,74.5,8.1,2024-04-15,2024-04-30,32,ATTENDANCE_SHORTAGE,74.5% attendance. 40-day industry internship with completion certificate. NBA-accredited program,yes,3,no,no,ACCEPT,NBA allows 65% minimum for 30+ day internship. Attendance relaxation approved,L2_Accreditation,NBA_Industry_Internship_Attendance_Exemption,no,L2_Accreditation,1300
GRV2024037,BBA,Human Resources,4,NA,420000,NA,2024-04-18,2024-05-03,4,FEE_INSTALLMENT,Family income Rs 420000. Requesting 3 installments for Rs 85000 fee,no,2,no,yes,ACCEPT,Income below Rs 500000. Installment approved,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024038,BTech,Civil Engineering,7,44,79.0,7.7,2024-04-20,2024-05-05,13,EXAMINATION_REEVAL,Revaluation for Geotechnical Engineering. Scored 44/100. Day 13 after result,no,1,no,no,ACCEPT,Within 15-day deadline. Fee payment required,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024039,MCA,Computer Applications,3,NA,69.0,7.8,2024-04-22,2024-05-07,11,ATTENDANCE_SHORTAGE,69% attendance with medical certificate for dengue (16 days). District hospital,yes,3,no,no,ACCEPT,Attendance 69% with valid 16-day medical certificate meets 65%+ criteria,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024040,BSc,Physics,5,NA,75.0,7.9,2024-04-25,2024-05-10,1,ATTENDANCE_SHORTAGE,Exactly 75% attendance. Confirming exam eligibility,no,0,no,no,ACCEPT,Meets UGC 75% minimum exactly. Eligible,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024041,BTech,Electronics,6,NA,72.8,7.5,2024-04-28,2024-05-13,8,ATTENDANCE_SHORTAGE,72.8% attendance. Published IEEE conference paper. Requesting academic flexibility,yes,2,no,no,ACCEPT,NAAC allows flexibility for indexed publication with approval,L2_Accreditation,NAAC_Research_Publication_Academic_Flexibility,no,L2_Accreditation,1150
GRV2024042,MBA,Operations,2,NA,165000,NA,2024-05-01,2024-05-16,5,FEE_WAIVER,ST category with Rs 165000 income. Fee waiver request,yes,4,yes,yes,ACCEPT,Meets RTE Act ST criteria with income below Rs 200000,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024043,BTech,Computer Science,5,39,80.0,8.0,2024-05-03,2024-05-18,15,EXAMINATION_REEVAL,Revaluation for Operating Systems. Scored 39/100. Submitted on day 15,no,1,no,no,ACCEPT,Submitted on deadline day (day 15). Within timeline,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024044,BSc,Chemistry,6,NA,74.2,7.4,2024-05-05,2024-05-20,20,ATTENDANCE_SHORTAGE,74.2% attendance. University policy 70% but UGC 75%. Requesting university policy application,no,1,no,no,REJECT,UGC L1 regulation (75%) supersedes university L3 policy (70%),L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024045,MTech,Computer Science,4,NA,71.2,8.2,2024-05-08,2024-05-23,28,ATTENDANCE_SHORTAGE,71.2% attendance with NAAC monitoring and parental notification. Academic committee review pending 28 days,yes,3,no,no,PENDING,NAAC 70-75% range with monitoring. Committee review required,L2_Accreditation,NAAC_Quality_Assurance_Attendance_Monitoring,no,L2_Accreditation,1200
GRV2024046,BCA,Computer Applications,4,67,77.0,7.8,2024-05-10,2024-05-25,5,GRADE_APPEAL,Scored 67 in Web Technologies. A grade at 70. Within 5% margin,no,2,no,no,ACCEPT,Within margin. Grade appeal approved,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024047,BTech,Mechanical Engineering,8,NA,83.0,8.5,2024-05-12,2024-05-27,42,TRANSCRIPT_DELAY,Transcript requested 42 days ago. Job offer pending,no,1,no,no,ACCEPT,Exceeds 30-day limit. Expedited within 5 days,L3_University,University_Transcript_Delay_Compensation,no,L3_University,1000
GRV2024048,BSc,Biotechnology,4,NA,66.5,7.1,2024-05-15,2024-05-30,13,ATTENDANCE_SHORTAGE,66.5% attendance with medical certificate for surgery (19 days). Government hospital,yes,4,no,no,ACCEPT,Attendance 66.5% with 19-day medical certificate meets 65%+ exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024049,MBA,Marketing,3,NA,350000,NA,2024-05-18,2024-06-02,6,FEE_INSTALLMENT,Family income Rs 350000. Requesting 3 installments for Rs 100000 fee,no,2,no,yes,ACCEPT,Income below Rs 500000. Installment approved,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024050,BTech,Civil Engineering,5,43,78.0,7.6,2024-05-20,2024-06-04,11,EXAMINATION_REEVAL,Revaluation for Surveying. Scored 43/100. Day 11 after result,no,1,no,no,ACCEPT,Within 15-day deadline. Fee required,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024051,MCA,Computer Applications,4,NA,68.8,7.9,2024-05-22,2024-06-06,10,ATTENDANCE_SHORTAGE,68.8% attendance with COVID-19 certificate (14 days). Private hospital,yes,2,no,no,ACCEPT,Attendance 68.8% with valid 14-day certificate meets exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024052,BSc,Physics,6,NA,75.1,8.0,2024-05-25,2024-06-09,2,ATTENDANCE_SHORTAGE,75.1% attendance. Confirming eligibility,no,0,no,no,ACCEPT,Exceeds 75% minimum. Eligible,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024053,BTech,Information Technology,7,NA,73.2,7.7,2024-05-28,2024-06-12,36,ATTENDANCE_SHORTAGE,73.2% attendance. 38-day industry internship with certificate. NBA program,yes,3,no,no,ACCEPT,NBA allows 65% for 30+ day internship. Approved,L2_Accreditation,NBA_Industry_Internship_Attendance_Exemption,no,L2_Accreditation,1300
GRV2024054,MA,English,3,NA,155000,NA,2024-05-30,2024-06-15,4,FEE_WAIVER,SC category with Rs 155000 income. Fee waiver request,yes,4,yes,yes,ACCEPT,Meets RTE Act SC criteria,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024055,BTech,Electronics,8,40,81.0,8.3,2024-06-02,2024-06-17,14,EXAMINATION_REEVAL,Revaluation for VLSI Design. Scored 40/100. Day 14,no,1,no,no,ACCEPT,Within 15-day deadline,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024056,BSc,Chemistry,5,NA,74.7,7.3,2024-06-05,2024-06-20,15,ATTENDANCE_SHORTAGE,74.7% attendance. University 70% policy but UGC 75%,no,1,no,no,REJECT,UGC L1 supersedes university L3,L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024057,MTech,Mechanical Engineering,2,NA,70.8,8.1,2024-06-08,2024-06-23,25,ATTENDANCE_SHORTAGE,70.8% attendance with NAAC monitoring. Pending 25 days,yes,3,no,no,PENDING,NAAC 70-75% with monitoring. Committee review,L2_Accreditation,NAAC_Quality_Assurance_Attendance_Monitoring,no,L2_Accreditation,1200
GRV2024058,BBA,Finance,4,68,76.5,7.9,2024-06-10,2024-06-25,3,GRADE_APPEAL,Scored 68 in Financial Management. A grade at 70,no,2,no,no,ACCEPT,Within 5% margin. Appeal approved,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024059,BTech,Computer Science,6,NA,84.0,8.6,2024-06-12,2024-06-27,48,TRANSCRIPT_DELAY,Transcript requested 48 days ago. MS admission deadline,no,1,no,no,ACCEPT,Exceeds 30-day limit. Expedited,L3_University,University_Transcript_Delay_Compensation,no,L3_University,1000
GRV2024060,BSc,Biotechnology,5,NA,67.5,7.2,2024-06-15,2024-06-30,12,ATTENDANCE_SHORTAGE,67.5% attendance with medical certificate for accident (17 days),yes,4,no,no,ACCEPT,Attendance 67.5% with 17-day certificate meets exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024061,MBA,Operations,4,NA,390000,NA,2024-06-18,2024-07-03,5,FEE_INSTALLMENT,Family income Rs 390000. 4 installments for Rs 110000,no,2,no,yes,ACCEPT,Income below Rs 500000. Approved,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024062,BTech,Civil Engineering,7,46,79.5,7.8,2024-06-20,2024-07-05,12,EXAMINATION_REEVAL,Revaluation for Hydraulics. Scored 46/100. Day 12,no,1,no,no,ACCEPT,Within 15-day deadline,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024063,MCA,Computer Applications,2,NA,69.5,8.0,2024-06-22,2024-07-07,9,ATTENDANCE_SHORTAGE,69.5% attendance with medical certificate for typhoid (15 days),yes,3,no,no,ACCEPT,Attendance 69.5% with 15-day certificate meets exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024064,BSc,Physics,4,NA,75.0,7.7,2024-06-25,2024-07-10,1,ATTENDANCE_SHORTAGE,Exactly 75% attendance. Confirming eligibility,no,0,no,no,ACCEPT,Meets 75% exactly. Eligible,L1_National,UGC_Attendance_75Percent_Minimum,no,L1_National,1500
GRV2024065,BTech,Electrical Engineering,6,NA,72.5,7.6,2024-06-28,2024-07-13,7,ATTENDANCE_SHORTAGE,72.5% attendance. Published Springer journal paper. Academic flexibility request,yes,2,no,no,ACCEPT,NAAC allows flexibility for indexed publication,L2_Accreditation,NAAC_Research_Publication_Academic_Flexibility,no,L2_Accreditation,1150
GRV2024066,MA,History,4,NA,170000,NA,2024-07-01,2024-07-16,6,FEE_WAIVER,ST category with Rs 170000 income. Fee waiver,yes,4,yes,yes,ACCEPT,Meets RTE Act ST criteria,L1_National,Right_To_Education_Fee_Waiver_SC_ST,no,L1_National,2000
GRV2024067,BTech,Information Technology,8,37,82.0,8.4,2024-07-03,2024-07-18,15,EXAMINATION_REEVAL,Revaluation for Cloud Computing. Scored 37/100. Day 15,no,1,no,no,ACCEPT,Submitted on deadline day,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024068,BSc,Chemistry,6,NA,74.5,7.4,2024-07-05,2024-07-20,18,ATTENDANCE_SHORTAGE,74.5% attendance. University 70% but UGC 75%,no,1,no,no,REJECT,UGC L1 supersedes university L3,L1_National,UGC_Attendance_75Percent_Minimum,yes,L1_National,1500
GRV2024069,MTech,Computer Science,3,NA,71.5,8.2,2024-07-08,2024-07-23,30,ATTENDANCE_SHORTAGE,71.5% attendance with NAAC monitoring. Pending 30 days,yes,3,no,no,ACCEPT,Pending 30 days. NAAC timeline requires escalation,L2_Accreditation,NAAC_Student_Grievance_Redressal_Timeline,no,L2_Accreditation,1100
GRV2024070,BCA,Computer Applications,5,69,77.5,7.9,2024-07-10,2024-07-25,4,GRADE_APPEAL,Scored 69 in Software Engineering. A grade at 70,no,2,no,no,ACCEPT,Within 5% margin. Appeal approved,L3_University,University_Grade_Appeal_Process,no,L3_University,950
GRV2024071,BTech,Mechanical Engineering,7,NA,85.0,8.7,2024-07-12,2024-07-27,46,TRANSCRIPT_DELAY,Transcript requested 46 days ago. PhD application,no,1,no,no,ACCEPT,Exceeds 30-day limit. Expedited,L3_University,University_Transcript_Delay_Compensation,no,L3_University,1000
GRV2024072,BSc,Biotechnology,6,NA,66.8,7.3,2024-07-15,2024-07-30,11,ATTENDANCE_SHORTAGE,66.8% attendance with medical certificate for malaria (18 days),yes,4,no,no,ACCEPT,Attendance 66.8% with 18-day certificate meets exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
GRV2024073,MBA,Marketing,2,NA,360000,NA,2024-07-18,2024-08-02,5,FEE_INSTALLMENT,Family income Rs 360000. 3 installments for Rs 95000,no,2,no,yes,ACCEPT,Income below Rs 500000. Approved,L3_University,University_Fee_Structure_Installment_Policy,no,L3_University,850
GRV2024074,BTech,Civil Engineering,8,45,80.0,7.9,2024-07-20,2024-08-04,13,EXAMINATION_REEVAL,Revaluation for Transportation Engineering. Scored 45/100. Day 13,no,1,no,no,ACCEPT,Within 15-day deadline,L1_National,UGC_Examination_Revaluation_Right,no,L1_National,1800
GRV2024075,MCA,Computer Applications,4,NA,69.2,8.1,2024-07-22,2024-08-06,10,ATTENDANCE_SHORTAGE,69.2% attendance with medical certificate for pneumonia (16 days),yes,3,no,no,ACCEPT,Attendance 69.2% with 16-day certificate meets exception,L1_National,UGC_Medical_Excuse_Exception,no,L1_National,1600
