clause_id,regulation_text,human_label,source,ambiguity_rationale
REG001,"Students must maintain a minimum of 75% attendance to be eligible for semester examinations.",non_ambiguous,UGC Regulations 2018,Explicit threshold with no discretion
REG002,"Students with exceptional circumstances may be granted attendance relaxation at the discretion of the academic committee.",ambiguous,University Statute,"Contains 'exceptional circumstances' (context-dependent) and 'may be granted' (permissive) and 'at the discretion' (subjective)"
REG003,"Re-evaluation requests must be submitted within 15 days of result declaration.",non_ambiguous,UGC Regulations 2018,Clear deadline with no interpretation needed
REG004,"The examination committee may permit re-evaluation if reasonable grounds are demonstrated.",ambiguous,University Examination Manual,"Contains 'may permit' (permissive) and 'reasonable grounds' (subjective)"
REG005,"Students belonging to SC/ST categories with family income below Rs 200000 are eligible for fee waiver.",non_ambiguous,RTE Act 2009,Explicit criteria with quantifiable thresholds
REG006,"Fee installment may be allowed for students facing genuine financial hardship.",ambiguous,University Fee Policy,"Contains 'may be allowed' (permissive) and 'genuine financial hardship' (subjective)"
REG007,"Medical certificates must be issued by a government hospital or recognized medical authority.",non_ambiguous,UGC Medical Policy,Clear institutional requirements
REG008,"Medical excuses will be considered valid if the illness was sufficiently serious to prevent attendance.",ambiguous,University Attendance Policy,"Contains 'sufficiently serious' (subjective) - no quantifiable standard"
REG009,"Grade appeals must be filed within 30 days of grade publication.",non_ambiguous,University Academic Regulations,Explicit timeline
REG010,"Grade changes may be approved if there is substantial evidence of evaluation error.",ambiguous,University Grade Policy,"Contains 'may be approved' (permissive) and 'substantial evidence' (subjective)"
REG011,"Laboratory attendance must be at least 80% for technical programs.",non_ambiguous,NBA Standards 2020,Explicit percentage threshold
REG012,"Students demonstrating adequate progress in research may be granted academic flexibility.",ambiguous,NAAC Guidelines,"Contains 'adequate progress' (subjective) and 'may be granted' (permissive)"
REG013,"Transcripts will be issued within 30 days of request submission.",non_ambiguous,University Administrative Policy,Clear service timeline
REG014,"Transcript delays beyond reasonable timeframes may warrant compensation.",ambiguous,University Service Policy,"Contains 'reasonable timeframes' (subjective) and 'may warrant' (permissive)"
REG015,"Students must score at least 40% to pass an examination.",non_ambiguous,UGC Examination Rules,Explicit passing threshold
REG016,"Borderline cases may be reviewed by the examination board for possible grade adjustment.",ambiguous,University Examination Policy,"Contains 'borderline cases' (context-dependent), 'may be reviewed' (permissive), and 'possible' (uncertain)"
REG017,"Industry internships of 30 days or more qualify for attendance relaxation under NBA guidelines.",non_ambiguous,NBA Technical Standards,Clear duration criterion
REG018,"Internships of appropriate duration and quality may be considered for academic credit.",ambiguous,University Internship Policy,"Contains 'appropriate duration' (subjective), 'quality' (subjective), and 'may be considered' (permissive)"
REG019,"Students must submit grievances within 7 days of the disputed event.",non_ambiguous,University Grievance Policy,Explicit deadline
REG020,"Grievances submitted after the deadline may be entertained in special circumstances.",ambiguous,University Grievance Redressal,"Contains 'may be entertained' (permissive) and 'special circumstances' (context-dependent)"
REG021,"Plagiarism detection software will flag submissions with more than 20% similarity.",non_ambiguous,University Academic Integrity,Quantifiable threshold
REG022,"Similarity reports will be evaluated considering the nature and context of the work.",ambiguous,Academic Integrity Guidelines,"Contains 'considering the nature and context' (context-dependent) - requires interpretation"
REG023,"Students must complete all course requirements to be eligible for degree conferral.",non_ambiguous,University Degree Regulations,Clear completion requirement
REG024,"Degree conferral may be delayed if the student's conduct record is unsatisfactory.",ambiguous,University Conduct Policy,"Contains 'may be delayed' (permissive) and 'unsatisfactory' (subjective)"
REG025,"Hostel fees must be paid by the 10th of each month.",non_ambiguous,University Hostel Rules,Explicit payment deadline
REG026,"Late fee payment may be permitted if the delay was due to unavoidable circumstances.",ambiguous,University Fee Policy,"Contains 'may be permitted' (permissive) and 'unavoidable circumstances' (context-dependent)"
REG027,"Students must maintain a CGPA of 6.0 or above to continue in the program.",non_ambiguous,University Academic Regulations,Explicit GPA threshold
REG028,"Students with marginally low CGPA may be allowed to continue under academic probation.",ambiguous,University Academic Policy,"Contains 'marginally low' (subjective), 'may be allowed' (permissive)"
REG029,"Research publications in Scopus-indexed journals qualify for academic recognition.",non_ambiguous,NAAC Research Guidelines,Clear indexing criterion
REG030,"Publications in reputable journals may be considered for academic flexibility.",ambiguous,NAAC Quality Guidelines,"Contains 'reputable' (subjective) and 'may be considered' (permissive)"
REG031,"Students absent for more than 3 consecutive days must submit a leave application.",non_ambiguous,University Attendance Rules,Explicit day count
REG032,"Prolonged absences require appropriate justification and supporting documentation.",ambiguous,University Leave Policy,"Contains 'prolonged' (subjective) and 'appropriate justification' (subjective)"
REG033,"Examination answer scripts will be preserved for 6 months after result declaration.",non_ambiguous,UGC Examination Guidelines,Clear retention period
REG034,"Answer scripts may be retained longer if there are pending disputes or appeals.",ambiguous,University Examination Policy,"Contains 'may be retained' (permissive) and 'pending disputes' (context-dependent)"
REG035,"Students must register for courses within the first week of the semester.",non_ambiguous,University Academic Calendar,Explicit registration window
REG036,"Late course registration may be permitted for valid reasons with departmental approval.",ambiguous,University Registration Policy,"Contains 'may be permitted' (permissive) and 'valid reasons' (subjective)"
REG037,"Library books must be returned within 14 days of issue.",non_ambiguous,University Library Rules,Clear return deadline
REG038,"Overdue fines may be waived in exceptional cases at the librarian's discretion.",ambiguous,Library Fine Policy,"Contains 'may be waived' (permissive), 'exceptional cases' (context-dependent), and 'discretion' (subjective)"
REG039,"Students must complete at least 120 credits to graduate.",non_ambiguous,University Degree Requirements,Explicit credit requirement
REG040,"Credit transfer from other institutions may be approved if the courses are substantially similar.",ambiguous,University Credit Transfer Policy,"Contains 'may be approved' (permissive) and 'substantially similar' (subjective)"
REG041,"Semester examinations will be conducted in the months of May and December.",non_ambiguous,University Academic Calendar,Specific months stated
REG042,"Examination dates may be adjusted if there are unforeseen circumstances.",ambiguous,University Examination Schedule,"Contains 'may be adjusted' (permissive) and 'unforeseen circumstances' (context-dependent)"
REG043,"Students must score at least 50% in internal assessments to be eligible for final exams.",non_ambiguous,University Examination Rules,Explicit percentage threshold
REG044,"Internal assessment marks may be moderated if the overall class performance is poor.",ambiguous,University Assessment Policy,"Contains 'may be moderated' (permissive) and 'poor' (subjective)"
REG045,"Hostel residents must vacate rooms within 3 days of semester end.",non_ambiguous,University Hostel Regulations,Clear vacation timeline
REG046,"Room vacation deadlines may be extended for students with compelling reasons.",ambiguous,Hostel Administration Policy,"Contains 'may be extended' (permissive) and 'compelling reasons' (subjective)"
REG047,"Students must attend at least 75% of laboratory sessions separately from theory classes.",non_ambiguous,NBA Lab Requirements,Explicit lab attendance threshold
REG048,"Lab attendance requirements may be relaxed for students engaged in significant research activities.",ambiguous,University Lab Policy,"Contains 'may be relaxed' (permissive) and 'significant research activities' (subjective)"
REG049,"Scholarship recipients must maintain a minimum CGPA of 7.5.",non_ambiguous,Scholarship Guidelines,Explicit GPA requirement
REG050,"Scholarship continuation may be reviewed if the student's academic performance declines.",ambiguous,Scholarship Policy,"Contains 'may be reviewed' (permissive) and 'declines' (subjective - no threshold)"
REG051,"Students must complete their degree within the maximum duration of 8 years.",non_ambiguous,University Degree Regulations,Explicit time limit
REG052,"Degree completion deadlines may be extended in extraordinary circumstances with senate approval.",ambiguous,University Extension Policy,"Contains 'may be extended' (permissive) and 'extraordinary circumstances' (context-dependent)"
REG053,"Anti-ragging committee must investigate all reported incidents within 7 days.",non_ambiguous,UGC Anti-Ragging Guidelines,Clear investigation timeline
REG054,"Disciplinary action will be proportionate to the severity of the ragging offense.",ambiguous,Anti-Ragging Policy,"Contains 'proportionate' (subjective) and 'severity' (subjective)"
REG055,"Students must submit project reports in PDF format with a maximum file size of 10 MB.",non_ambiguous,University Project Guidelines,Explicit format and size limits
REG056,"Project reports should be of adequate length and depth to demonstrate mastery of the subject.",ambiguous,Project Evaluation Criteria,"Contains 'adequate length' (subjective) and 'depth' (subjective)"
REG057,"Examination halls will accommodate a maximum of 30 students per room.",non_ambiguous,Examination Conduct Rules,Explicit capacity limit
REG058,"Seating arrangements may be modified based on the nature of the examination.",ambiguous,Examination Administration,"Contains 'may be modified' (permissive) and 'nature of the examination' (context-dependent)"
REG059,"Students must wear their ID cards at all times within the campus.",non_ambiguous,University Campus Rules,Clear requirement
REG060,"Dress code violations may result in disciplinary action depending on the context.",ambiguous,University Conduct Policy,"Contains 'may result' (permissive) and 'depending on the context' (context-dependent)"
REG061,"Course instructors must upload grades within 10 days of examination completion.",non_ambiguous,Faculty Guidelines,Explicit deadline for faculty
REG062,"Grade submission deadlines may be extended if there are technical difficulties.",ambiguous,Academic Administration,"Contains 'may be extended' (permissive) and 'technical difficulties' (context-dependent)"
REG063,"Students must complete a minimum of 6 months industrial training for the degree.",non_ambiguous,University Curriculum,Explicit training duration
REG064,"Industrial training of appropriate quality and relevance may substitute for elective courses.",ambiguous,University Training Policy,"Contains 'appropriate quality' (subjective), 'relevance' (subjective), and 'may substitute' (permissive)"
REG065,"Examination re-totaling requests must be accompanied by a fee of Rs 500.",non_ambiguous,Examination Fee Structure,Explicit fee amount
REG066,"Re-totaling fees may be refunded if an error is discovered in the original totaling.",ambiguous,Examination Refund Policy,"Contains 'may be refunded' (permissive) and 'error is discovered' (context-dependent)"
REG067,"Students must complete ethics and values course in the first year.",non_ambiguous,University Mandatory Courses,Clear course requirement and timeline
REG068,"Ethics course attendance may be waived for students with prior relevant training.",ambiguous,Ethics Course Policy,"Contains 'may be waived' (permissive) and 'relevant training' (subjective)"
REG069,"Thesis defense presentations must be at least 30 minutes in duration.",non_ambiguous,Research Guidelines,Explicit time requirement
REG070,"Thesis defense duration may be extended if the committee requires additional clarification.",ambiguous,Thesis Evaluation Policy,"Contains 'may be extended' (permissive) and 'requires additional clarification' (context-dependent)"
REG071,"Students must submit course feedback forms before accessing their semester results.",non_ambiguous,University Feedback System,Clear prerequisite condition
REG072,"Feedback submission requirements may be relaxed in cases of technical system failures.",ambiguous,Feedback Administration,"Contains 'may be relaxed' (permissive) and 'technical system failures' (context-dependent)"
REG073,"Examination malpractice results in automatic failure of the course.",non_ambiguous,UGC Examination Conduct,Explicit consequence
REG074,"Malpractice penalties may be reduced if the student demonstrates genuine remorse.",ambiguous,Disciplinary Policy,"Contains 'may be reduced' (permissive) and 'genuine remorse' (subjective)"
REG075,"Students must register for a minimum of 18 credits per semester.",non_ambiguous,University Credit Requirements,Explicit credit minimum
REG076,"Credit load may be reduced for students facing health or personal challenges.",ambiguous,Academic Flexibility Policy,"Contains 'may be reduced' (permissive) and 'health or personal challenges' (context-dependent)"
REG077,"Convocation attendance is mandatory for degree recipients.",non_ambiguous,University Convocation Rules,Clear attendance requirement
REG078,"Convocation attendance may be excused for students with valid reasons.",ambiguous,Convocation Policy,"Contains 'may be excused' (permissive) and 'valid reasons' (subjective)"
REG079,"Students must clear all financial dues before receiving their degree certificate.",non_ambiguous,University Clearance Requirements,Explicit prerequisite
REG080,"Degree issuance may be expedited in urgent cases with proper justification.",ambiguous,Degree Administration,"Contains 'may be expedited' (permissive), 'urgent cases' (context-dependent), and 'proper justification' (subjective)"
